x,y_below_zero,y_above_zero,past_zero_tick
23.2,,3.14415227867226,
23.35,,3.15059698411491,
23.5,,3.15700042115011,
23.65,,3.16336311493794,
23.8,,3.16968558067743,
23.95,,3.17596832385692,
24.1,,3.18221184049661,
24.25,,3.18841661738349,
24.4,,3.19458313229916,
24.55,,3.20071185424053,
24.7,,3.20680324363393,
24.85,,3.21285775254264,
25,,3.2188758248682,
25.15,,3.22485789654575,
25.3,,3.23080439573347,
25.45,,3.23671574299653,
25.6,,3.24259235148552,
25.75,,3.24843462710975,
25.9,,3.25424296870549,
26.05,,3.26001776819938,
26.2,,3.26575941076705,
26.35,,3.27146827498737,
26.5,,3.27714473299218,
26.65,,3.28278915061185,
26.8,,3.28840188751681,
26.95,,3.29398329735501,
27.1,,3.29953372788566,
27.25,,3.30505352110925,
27.4,,3.31054301339402,
27.55,,3.31600253559892,
27.7,,3.32143241319329,
27.85,,3.32683296637329,
28,,3.3322045101752,
28.15,,3.3375473545857,
28.3,,3.34286180464919,
28.45,,3.34814816057234,
28.6,,3.35340671782581,
28.75,,3.35863776724336,
28.9,,3.36384159511839,
29.05,,3.36901848329792,
29.2,,3.37416870927424,
29.35,,3.37929254627411,
29.5,,3.38439026334577,
29.65,,3.38946212544373,
29.8,,3.39450839351136,
29.95,,3.39952932456146,
30.1,,3.40452517175483,
30.25,,3.40949618447685,
30.4,,3.41444260841218,
30.55,,3.4193646856176,
30.7,,3.42426265459315,
30.85,,3.4291367503514,
31,,3.43398720448515,
31.15,,3.43881424523346,
31.3,,3.44361809754611,
31.45,,3.44839898314645,
31.6,,3.45315712059287,
31.75,,3.4578927253387,
31.9,,3.4626060097908,
32.05,,3.46729718336668,
32.2,,3.47196645255036,
32.35,,3.47661402094691,
32.5,,3.48124008933569,
32.65,,3.48584485572244,
32.8,,3.4904285153901,
32.95,,3.49499126094852,
33.1,,3.49953328238302,
33.25,,3.50405476710186,
33.4,,3.50855589998265,
33.55,,3.51303686341769,
33.7,,3.51749783735832,
33.85,,3.52193899935828,
34,,3.52636052461616,
34.15,,3.5307625860168,
34.3,,3.53514535417189,
34.45,,3.53950899745967,
34.6,,3.54385368206368,
34.75,,3.5481795720108,
34.9,,3.55248682920838,
35.05,,3.5567756134806,
35.2,,3.56104608260405,
35.35,,3.56529839234258,
35.5,,3.56953269648137,
35.65,,3.5737491468603,
35.8,,3.57794789340665,
35.95,,3.58212908416706,
36.1,,3.58629286533884,
36.25,,3.59043938130068,
36.4,,3.5945687746427,
36.55,,3.59868118619579,
36.7,,3.60277675506052,
36.85,,3.60685561863535,
37,,3.61091791264422,
37.15,,3.61496377116377,
37.3,,3.61899332664977,
37.45,,3.62300670996323,
37.6,,3.62700405039585,
37.75,,3.63098547569503,
37.9,,3.63495111208838,
38.05,,3.6389010843077,
38.2,,3.64283551561253,
38.35,,3.64675452781327,
38.5,,3.65065824129374,
38.65,,3.65454677503343,
38.8,,3.65842024662923,
38.95,,3.66227877231676,
39.1,,3.66612246699132,
39.25,,3.66995144422842,
39.4,,3.67376581630389,
39.55,,3.67756569421366,
39.7,,3.68135118769314,
39.85,,3.68512240523622,
40,,3.68887945411394,
40.15,,3.69262244039277,
40.3,,3.69635146895264,
40.45,,3.7000666435045,
40.6,,3.70376806660769,
40.75,,3.70745583968687,
40.9,,3.71113006304876,
41.05,,3.71479083589844,
41.2,,3.71843825635548,
41.35,,3.7220724214697,
41.5,,3.72569342723665,
41.65,,3.72930136861285,
41.8,,3.73289633953071,
41.95,,3.73647843291322,
42.1,,3.74004774068834,
42.25,,3.74360435380318,
42.4,,3.74714836223791,
42.55,,3.75067985501938,
42.7,,3.75419892023458,
42.85,,3.75770564504379,
43,,3.76120011569356,
43.15,,3.76468241752944,
43.3,,3.76815263500844,
43.45,,3.7716108517114,
43.6,,3.77505715035499,
43.75,,3.77849161280362,
43.9,,3.78191432008113,
44.05,,3.78532535238219,
44.2,,3.78872478908365,
44.35,,3.79211270875559,
44.5,,3.7954891891722,
44.65,,3.79885430732251,
44.8,,3.80220813942094,
44.95,,3.80555076091763,
45.1,,3.80888224650863,
45.25,,3.81220267014594,
45.4,,3.8155121050473,
45.55,,3.81881062370597,
45.7,,3.82209829790016,
45.85,,3.82537519870247,
46,,3.8286413964891,
46.15,,3.83189696094886,
46.3,,3.83514196109219,
46.45,,3.83837646525985,
46.6,,3.8416005411316,
46.75,,3.8448142557347,
46.9,,3.84801767545223,
47.05,,3.85121086603139,
47.2,,3.85439389259151,
47.35,,3.85756681963209,
47.5,,3.8607297110406,
47.65,,3.86388263010021,
47.8,,3.86702563949741,
47.95,,3.87015880132945,
48.1,,3.87328217711172,
48.25,,3.876395827785,
48.4,,3.87949981372259,
48.55,,3.88259419473733,
48.7,,3.88567903008854,
48.85,,3.88875437848879,
49,,3.89182029811063,
49.15,,3.89487684659318,
49.3,,3.89792408104864,
49.45,,3.90096205806872,
49.6,,3.90399083373088,
49.75,,3.9070104636046,
49.9,,3.91002100275747,
