x;y;zero_tick
5.9;59.7141114583557;
6;64;
6.1;68.5935016023228;
6.2;73.5166947198103;
6.3;78.7932424540747;
6.4;84.4485062894653;
6.5;90.5096679918781;
6.6;97.0058602566656;
6.7;103.968306733598;
6.8;111.430472101904;
6.9;119.428222916711;
7;128;
7.1;137.187003204646;
7.2;147.033389439621;
7.3;157.586484908149;
7.4;168.89701257893;
7.5;181.019335983756;
7.6;194.011720513331;
7.7;207.936613467196;
7.8;222.860944203808;
7.9;238.856445833423;
8;256;
8.1;274.374006409291;
8.2;294.066778879241;
8.3;315.172969816299;
8.4;337.794025157861;
8.5;362.038671967512;
8.6;388.023441026662;
8.7;415.873226934393;
8.8;445.721888407616;
8.9;477.712891666846;
9;512;
9.1;548.748012818583;
9.2;588.133557758482;
9.3;630.345939632597;
9.4;675.588050315722;
9.5;724.077343935025;
9.6;776.046882053325;
9.7;831.746453868786;
9.8;891.443776815232;
9.9;955.425783333691;
10;1024;
10.1;1097.49602563717;
10.2;1176.26711551696;
10.3;1260.6918792652;
10.4;1351.17610063144;
10.5;1448.15468787005;
10.6;1552.09376410665;
10.7;1663.49290773757;
10.8;1782.88755363046;
10.9;1910.85156666738;
11;2048;
11.1;2194.99205127433;
11.2;2352.53423103393;
11.3;2521.38375853039;
11.4;2702.35220126289;
11.5;2896.3093757401;
11.6;3104.1875282133;
11.7;3326.98581547514;
11.8;3565.77510726093;
11.9;3821.70313333476;
12;4096;
12.1;4389.98410254866;
12.2;4705.06846206785;
12.3;5042.76751706078;
12.4;5404.70440252578;
12.5;5792.6187514802;
12.6;6208.3750564266;
12.7;6653.97163095028;
12.8;7131.55021452185;
12.9;7643.40626666954;
13;8192;
13.1;8779.96820509732;
13.2;9410.13692413571;
13.3;10085.5350341216;
13.4;10809.4088050516;
13.5;11585.2375029604;
13.6;12416.7501128532;
13.7;13307.9432619006;
13.8;14263.1004290437;
13.9;15286.8125333391;
14;16384;
14.1;17559.9364101946;
14.2;18820.2738482714;
14.3;20171.0700682431;
14.4;21618.8176101031;
14.5;23170.4750059208;
14.6;24833.5002257064;
14.7;26615.8865238011;
14.8;28526.2008580874;
14.9;30573.6250666781;
15;32768;
15.1;35119.8728203893;
15.2;37640.5476965429;
15.3;40342.1401364862;
15.4;43237.6352202063;
15.5;46340.9500118416;
15.6;49667.0004514128;
15.7;53231.7730476024;
15.8;57052.4017161748;
15.9;61147.2501333563;
16;65536;
16.1;70239.7456407786;
16.2;75281.0953930858;
16.3;80684.2802729725;
16.4;86475.2704404125;
16.5;92681.9000236832;
16.6;99334.0009028255;
16.7;106463.546095205;
16.8;114104.80343235;
16.9;122294.500266713;
17;131072;
17.1;140479.491281557;
17.2;150562.190786172;
17.3;161368.560545945;
17.4;172950.540880825;
17.5;185363.800047366;
17.6;198668.001805651;
17.7;212927.092190409;
17.8;228209.606864699;
17.9;244589.000533425;
18;262144;
18.1;280958.982563114;
18.2;301124.381572343;
18.3;322737.12109189;
18.4;345901.08176165;
18.5;370727.600094733;
18.6;397336.003611302;
18.7;425854.184380819;
18.8;456419.213729399;
18.9;489178.00106685;
19;524288;
19.1;561917.965126229;
19.2;602248.763144687;
19.3;645474.24218378;
19.4;691802.1635233;
19.5;741455.200189465;
19.6;794672.007222604;
19.7;851708.368761638;
19.8;912838.427458797;
19.9;978356.002133701;
20;1048576;
20.1;1123835.93025246;
20.2;1204497.52628937;
20.3;1290948.48436756;
20.4;1383604.3270466;
20.5;1482910.40037893;
20.6;1589344.01444521;
20.7;1703416.73752328;
20.8;1825676.85491759;
20.9;1956712.0042674;
21;2097152;
21.1;2247671.86050491;
21.2;2408995.05257875;
21.3;2581896.96873512;
