"x","y","y_below_zero","y_above_zero","past_zero_tick"
13.95,1.14457420760962,,1.14457420760962,
14.1,1.14921911265538,,1.14921911265538,
14.25,1.15381486434453,,1.15381486434453,
14.4,1.15836249209525,,1.15836249209525,
14.55,1.16286299332193,,1.16286299332193,
14.7,1.16731733474818,,1.16731733474818,
14.85,1.17172645365323,,1.17172645365323,
15,1.17609125905568,,1.17609125905568,
15.15,1.18041263283832,,1.18041263283832,
15.3,1.1846914308176,,1.1846914308176,
15.45,1.18892848376085,,1.18892848376085,
15.6,1.19312459835446,,1.19312459835446,
15.75,1.19728055812562,,1.19728055812562,
15.9,1.20139712432045,,1.20139712432045,
16.05,1.20547503674089,,1.20547503674089,
16.2,1.20951501454263,,1.20951501454263,
16.35,1.2135177569963,,1.2135177569963,
16.5,1.21748394421391,,1.21748394421391,
16.65,1.22141423784234,,1.22141423784234,
16.8,1.22530928172586,,1.22530928172586,
16.95,1.2291697025391,,1.2291697025391,
17.1,1.23299611039215,,1.23299611039215,
17.25,1.23678909940929,,1.23678909940929,
17.4,1.2405492482826,,1.2405492482826,
17.55,1.24427712080184,,1.24427712080184,
17.7,1.24797326636181,,1.24797326636181,
17.85,1.25163822044821,,1.25163822044821,
18,1.25527250510331,,1.25527250510331,
18.15,1.25887662937213,,1.25887662937213,
18.3,1.26245108973043,,1.26245108973043,
18.45,1.26599637049508,,1.26599637049508,
18.6,1.26951294421792,,1.26951294421792,
18.75,1.27300127206374,,1.27300127206374,
18.9,1.27646180417324,,1.27646180417324,
19.05,1.27989498001164,,1.27989498001164,
19.2,1.28330122870355,,1.28330122870355,
19.35,1.28668096935493,,1.28668096935493,
19.5,1.29003461136252,,1.29003461136252,
19.65,1.29336255471145,,1.29336255471145,
19.8,1.29666519026153,,1.29666519026153,
19.95,1.29994290002277,,1.29994290002277,
20.1,1.30319605742049,,1.30319605742049,
20.25,1.30642502755069,,1.30642502755069,
20.4,1.3096301674259,,1.3096301674259,
20.55,1.31281182621209,,1.31281182621209,
20.7,1.31597034545692,,1.31597034545692,
20.85,1.31910605930978,,1.31910605930978,
21,1.32221929473392,,1.32221929473392,
21.15,1.32531037171106,,1.32531037171106,
21.3,1.32837960343874,,1.32837960343874,
21.45,1.33142729652074,,1.33142729652074,
21.6,1.33445375115093,,1.33445375115093,
21.75,1.33745926129066,,1.33745926129066,
21.9,1.34044411484012,,1.34044411484012,
22.05,1.34340859380386,,1.34340859380386,
22.2,1.34635297445064,,1.34635297445064,
22.35,1.34927752746796,,1.34927752746796,
22.5,1.35218251811136,,1.35218251811136,
22.65,1.35506820634885,,1.35506820634885,
22.8,1.35793484700045,,1.35793484700045,
22.95,1.36078268987328,,1.36078268987328,
23.1,1.36361197989214,,1.36361197989214,
23.25,1.36642295722597,,1.36642295722597,
23.4,1.36921585741014,,1.36921585741014,
23.55,1.37199091146491,,1.37199091146491,
23.7,1.3747483460101,,1.3747483460101,
23.85,1.37748838337613,,1.37748838337613,
24,1.38021124171161,,1.38021124171161,
24.15,1.38291713508753,,1.38291713508753,
24.3,1.38560627359831,,1.38560627359831,
24.45,1.38827886345964,,1.38827886345964,
24.6,1.39093510710338,,1.39093510710338,
24.75,1.39357520326959,,1.39357520326959,
24.9,1.39619934709574,,1.39619934709574,
25.05,1.39880773020326,,1.39880773020326,
25.2,1.40140054078154,,1.40140054078154,
25.35,1.40397796366935,,1.40397796366935,
25.5,1.40654018043396,,1.40654018043396,
25.65,1.40908736944783,,1.40908736944783,
25.8,1.41161970596323,,1.41161970596323,
25.95,1.41413736218448,,1.41413736218448,
26.1,1.41664050733828,,1.41664050733828,
26.25,1.41912930774198,,1.41912930774198,
26.4,1.42160392686983,,1.42160392686983,
26.55,1.42406452541749,,1.42406452541749,
26.7,1.42651126136458,,1.42651126136458,
26.85,1.42894429003557,,1.42894429003557,
27,1.43136376415899,,1.43136376415899,
27.15,1.43376983392487,,1.43376983392487,
27.3,1.43616264704076,,1.43616264704076,
27.45,1.43854234878611,,1.43854234878611,
27.6,1.44090908206522,,1.44090908206522,
27.75,1.4432629874587,,1.4432629874587,
27.9,1.4456042032736,,1.4456042032736,
28.05,1.44793286559218,,1.44793286559218,
28.2,1.45024910831936,,1.45024910831936,
28.35,1.45255306322893,,1.45255306322893,
28.5,1.45484486000851,,1.45484486000851,
28.65,1.45712462630341,,1.45712462630341,
28.8,1.45939248775923,,1.45939248775923,
28.95,1.46164856806346,,1.46164856806346,
29.1,1.46389298898591,,1.46389298898591,
29.25,1.4661258704182,,1.4661258704182,
29.4,1.46834733041216,,1.46834733041216,
29.55,1.47055748521727,,1.47055748521727,
29.7,1.47275644931721,,1.47275644931721,
29.85,1.47494433546539,,1.47494433546539,
30,1.47712125471966,,1.47712125471966,
